bee_id,in_equals,out_equals
220,False,True
951,True,True
1520,True,True
1235,True,True
1554,True,True
731,True,True
793,True,True
1568,False,True
1282,True,True
541,True,True
618,True,True
303,True,False
691,True,False
1362,False,False
3614,True,True
1390,True,True
993,True,True
388,True,True
3925,True,True
1243,True,True
873,False,True
1597,True,True
475,True,True
301,True,True
793,True,True
852,True,True
833,False,True
988,True,True
1235,True,True
1431,False,True
1205,True,True
1282,True,False
1066,True,False
1174,True,True
590,True,True
830,True,True
1337,True,True
1401,False,True
3894,True,True
830,True,True
1571,False,True
950,True,True
1086,False,True
420,False,True
